TOTAL: 3543311
frames, misses, miss rate 
1,3543311,1.000000
2,3032091,0.855723
3,2688679,0.758804
4,2535783,0.715654
5,2382045,0.672265
6,2292936,0.647117
7,2206601,0.622751
8,2100059,0.592683
9,1980856,0.559041
10,1896524,0.535241
11,1832207,0.517089
12,1774561,0.500820
13,1717640,0.484756
14,1659868,0.468451
15,1604521,0.452831
16,1552288,0.438090
17,1502392,0.424008
18,1453812,0.410298
19,1406556,0.396961
20,1361237,0.384171
21,1317266,0.371761
22,1275944,0.360099
23,1236924,0.349087
24,1201276,0.339026
25,1168739,0.329844
26,1139288,0.321532
27,1113777,0.314332
28,1091145,0.307945
29,1071304,0.302345
30,1054479,0.297597
31,1039581,0.293393
32,1026581,0.289724
33,1015315,0.286544
34,1005476,0.283767
35,996663,0.281280
36,988976,0.279111
37,981837,0.277096
38,975276,0.275244
39,969367,0.273577
40,963602,0.271950
41,958247,0.270438
42,953208,0.269016
43,948437,0.267670
44,943902,0.266390
45,939481,0.265142
46,935295,0.263961
47,931336,0.262843
48,927279,0.261698
49,923487,0.260628
50,919667,0.259550
51,916023,0.258522
52,912620,0.257561
53,909222,0.256602
54,905903,0.255666
55,902543,0.254717
56,899384,0.253826
57,896162,0.252917
58,893012,0.252028
59,890004,0.251179
60,886988,0.250327
61,884147,0.249526
62,881335,0.248732
63,878642,0.247972
64,875875,0.247191
65,873225,0.246443
66,870650,0.245717
67,868136,0.245007
68,865692,0.244317
69,863235,0.243624
70,860784,0.242932
71,858384,0.242255
72,856077,0.241604
73,853824,0.240968
74,851550,0.240326
75,849303,0.239692
76,847103,0.239071
77,844956,0.238465
78,842805,0.237858
79,840655,0.237251
80,838571,0.236663
81,836505,0.236080
82,834513,0.235518
83,832512,0.234953
84,830575,0.234406
85,828702,0.233878
86,826662,0.233302
87,824707,0.232750
88,822857,0.232228
89,821013,0.231708
90,819177,0.231190
91,817411,0.230691
92,815615,0.230184
93,813901,0.229701
94,812160,0.229209
95,810416,0.228717
96,808708,0.228235
97,807032,0.227762
98,805399,0.227301
99,803682,0.226817
100,802135,0.226380
101,800557,0.225935
102,798977,0.225489
103,797432,0.225053
104,795905,0.224622
105,794407,0.224199
106,792919,0.223779
107,791454,0.223366
108,790032,0.222964
109,788612,0.222564
110,787189,0.222162
111,785779,0.221764
112,784466,0.221393
113,783070,0.221000
114,781687,0.220609
115,780342,0.220230
116,779019,0.219856
117,777749,0.219498
118,776477,0.219139
119,775192,0.218776
120,773884,0.218407
121,772603,0.218045
122,771335,0.217688
123,770065,0.217329
124,768788,0.216969
125,767520,0.216611
126,766284,0.216262
127,765076,0.215921
128,763811,0.215564
129,762615,0.215227
130,761369,0.214875
131,760148,0.214530
132,758927,0.214186
133,757794,0.213866
134,756606,0.213531
135,755448,0.213204
136,754250,0.212866
137,753062,0.212531
138,751913,0.212206
139,750717,0.211869
140,749507,0.211527
141,748348,0.211200
142,747193,0.210874
143,746023,0.210544
144,744854,0.210214
145,743701,0.209889
146,742561,0.209567
147,741370,0.209231
148,740220,0.208906
149,739081,0.208585
150,737874,0.208244
151,736719,0.207918
152,735537,0.207585
153,734440,0.207275
154,733353,0.206968
155,732201,0.206643
156,731113,0.206336
157,729935,0.206004
158,728786,0.205679
159,727663,0.205362
160,726593,0.205060
161,725459,0.204740
162,724387,0.204438
163,723313,0.204135
164,722207,0.203823
165,721154,0.203525
166,720125,0.203235
167,719090,0.202943
168,718059,0.202652
169,717077,0.202375
170,716047,0.202084
171,715083,0.201812
172,714155,0.201550
173,713184,0.201276
174,712207,0.201000
175,711280,0.200739
176,710380,0.200485
177,709475,0.200229
178,708589,0.199979
179,707650,0.199714
180,706776,0.199468
181,705932,0.199229
182,705062,0.198984
183,704165,0.198731
184,703291,0.198484
185,702466,0.198251
186,701564,0.197997
187,700689,0.197750
188,699857,0.197515
189,699027,0.197281
190,698164,0.197037
191,697343,0.196805
192,696523,0.196574
193,695734,0.196351
194,694928,0.196124
195,694121,0.195896
196,693294,0.195663
197,692486,0.195435
198,691700,0.195213
199,690925,0.194994
200,690160,0.194778
201,689357,0.194552
202,688563,0.194328
203,687778,0.194106
204,687024,0.193893
205,686267,0.193680
206,685504,0.193464
207,684799,0.193265
208,684064,0.193058
209,683308,0.192844
210,682543,0.192629
211,681843,0.192431
212,681130,0.192230
213,680418,0.192029
214,679670,0.191818
215,678879,0.191595
216,678138,0.191385
217,677423,0.191184
218,676689,0.190976
219,675953,0.190769
220,675225,0.190563
221,674534,0.190368
222,673824,0.190168
223,673152,0.189978
224,672441,0.189778
225,671774,0.189589
226,671080,0.189393
227,670367,0.189192
228,669688,0.189001
229,668940,0.188790
230,668251,0.188595
231,667548,0.188397
232,666867,0.188204
233,666172,0.188008
234,665444,0.187803
235,664781,0.187616
236,664168,0.187443
237,663441,0.187238
238,662739,0.187039
239,662035,0.186841
240,661329,0.186642
241,660611,0.186439
242,659930,0.186247
243,659263,0.186058
244,658606,0.185873
245,657867,0.185664
246,657131,0.185457
247,656455,0.185266
248,655781,0.185076
249,655085,0.184879
250,654418,0.184691
251,653760,0.184505
252,653100,0.184319
253,652422,0.184128
254,651752,0.183939
255,651117,0.183759
256,650442,0.183569
257,649757,0.183376
258,649100,0.183190
259,648438,0.183003
260,647795,0.182822
261,647148,0.182639
262,646534,0.182466
263,645908,0.182289
264,645242,0.182101
265,644623,0.181927
266,643940,0.181734
267,643376,0.181575
268,642732,0.181393
269,642164,0.181233
270,641548,0.181059
271,641026,0.180912
272,640426,0.180742
273,639839,0.180577
274,639251,0.180411
275,638625,0.180234
276,638074,0.180078
277,637482,0.179911
278,636883,0.179742
279,636298,0.179577
280,635737,0.179419
281,635161,0.179256
282,634568,0.179089
283,634026,0.178936
284,633442,0.178771
285,632892,0.178616
286,632355,0.178464
287,631826,0.178315
288,631237,0.178149
289,630669,0.177989
290,630088,0.177825
291,629495,0.177657
292,628934,0.177499
293,628380,0.177343
294,627848,0.177192
295,627321,0.177044
296,626768,0.176888
297,626213,0.176731
298,625650,0.176572
299,625167,0.176436
300,624629,0.176284
301,624079,0.176129
302,623547,0.175979
303,622999,0.175824
304,622440,0.175666
305,621932,0.175523
306,621371,0.175365
307,620823,0.175210
308,620265,0.175052
309,619711,0.174896
310,619140,0.174735
311,618591,0.174580
312,618034,0.174423
313,617474,0.174265
314,616931,0.174111
315,616390,0.173959
316,615873,0.173813
317,615331,0.173660
318,614827,0.173518
319,614260,0.173358
320,613722,0.173206
321,613222,0.173065
322,612691,0.172915
323,612179,0.172770
324,611631,0.172616
325,611123,0.172472
326,610568,0.172316
327,610020,0.172161
328,609483,0.172009
329,608953,0.171860
330,608457,0.171720
331,607996,0.171590
332,607473,0.171442
333,607002,0.171309
334,606489,0.171164
335,605999,0.171026
336,605486,0.170881
337,604981,0.170739
338,604488,0.170600
339,603994,0.170460
340,603519,0.170326
341,603011,0.170183
342,602543,0.170051
343,602072,0.169918
344,601585,0.169780
345,601104,0.169645
346,600595,0.169501
347,600120,0.169367
348,599649,0.169234
349,599183,0.169103
350,598693,0.168964
351,598223,0.168832
352,597735,0.168694
353,597266,0.168562
354,596786,0.168426
355,596304,0.168290
356,595831,0.168157
357,595327,0.168014
358,594904,0.167895
359,594434,0.167762
360,593959,0.167628
361,593505,0.167500
362,593032,0.167367
363,592566,0.167235
364,592080,0.167098
365,591620,0.166968
366,591177,0.166843
367,590668,0.166699
368,590192,0.166565
369,589719,0.166432
370,589265,0.166303
371,588841,0.166184
372,588366,0.166050
373,587948,0.165932
374,587490,0.165803
375,586997,0.165663
376,586506,0.165525
377,586086,0.165406
378,585584,0.165265
379,585132,0.165137
380,584643,0.164999
381,584183,0.164869
382,583710,0.164736
383,583295,0.164619
384,582852,0.164494
385,582412,0.164369
386,581968,0.164244
387,581533,0.164121
388,581072,0.163991
389,580624,0.163865
390,580165,0.163735
391,579682,0.163599
392,579224,0.163470
393,578788,0.163347
394,578325,0.163216
395,577805,0.163069
396,577357,0.162943
397,576860,0.162803
398,576401,0.162673
399,575922,0.162538
400,575477,0.162412
401,575053,0.162293
402,574634,0.162174
403,574189,0.162049
404,573721,0.161917
405,573270,0.161789
406,572831,0.161665
407,572344,0.161528
408,571890,0.161400
409,571466,0.161280
410,571027,0.161156
411,570549,0.161021
412,570090,0.160892
413,569664,0.160772
414,569172,0.160633
415,568698,0.160499
416,568227,0.160366
417,567757,0.160233
418,567333,0.160114
419,566859,0.159980
420,566408,0.159853
421,565987,0.159734
422,565544,0.159609
423,565113,0.159487
424,564671,0.159363
425,564222,0.159236
426,563774,0.159109
427,563321,0.158982
428,562886,0.158859
429,562469,0.158741
430,562011,0.158612
431,561594,0.158494
432,561144,0.158367
433,560732,0.158251
434,560297,0.158128
435,559849,0.158002
436,559455,0.157890
437,559032,0.157771
438,558593,0.157647
439,558206,0.157538
440,557813,0.157427
441,557432,0.157320
442,557019,0.157203
443,556598,0.157084
444,556185,0.156968
445,555760,0.156848
446,555364,0.156736
447,554977,0.156627
448,554610,0.156523
449,554221,0.156413
450,553870,0.156314
451,553461,0.156199
452,553074,0.156090
453,552674,0.155977
454,552268,0.155862
455,551872,0.155750
456,551443,0.155629
457,551049,0.155518
458,550671,0.155411
459,550266,0.155297
460,549910,0.155197
461,549516,0.155085
462,549125,0.154975
463,548740,0.154866
464,548334,0.154752
465,547934,0.154639
466,547549,0.154530
467,547159,0.154420
468,546742,0.154303
469,546333,0.154187
470,545944,0.154077
471,545557,0.153968
472,545155,0.153855
473,544797,0.153754
474,544362,0.153631
475,543970,0.153520
476,543553,0.153403
477,543151,0.153289
478,542729,0.153170
479,542346,0.153062
480,542001,0.152965
481,541601,0.152852
482,541226,0.152746
483,540824,0.152632
484,540443,0.152525
485,540055,0.152415
486,539700,0.152315
487,539273,0.152195
488,538922,0.152096
489,538536,0.151987
490,538168,0.151883
491,537794,0.151777
492,537420,0.151672
493,537057,0.151569
494,536703,0.151469
495,536326,0.151363
496,535925,0.151250
497,535540,0.151141
498,535175,0.151038
499,534805,0.150934
500,534409,0.150822
501,534049,0.150720
502,533691,0.150619
503,533301,0.150509
504,532928,0.150404
505,532563,0.150301
506,532179,0.150193
507,531814,0.150090
508,531441,0.149984
509,531109,0.149891
510,530757,0.149791
511,530406,0.149692
512,530072,0.149598
513,529706,0.149495
514,529310,0.149383
515,528919,0.149273
516,528556,0.149170
517,528191,0.149067
518,527848,0.148970
519,527492,0.148870
520,527126,0.148767
521,526762,0.148664
522,526413,0.148565
523,526051,0.148463
524,525672,0.148356
525,525302,0.148252
526,524957,0.148154
527,524609,0.148056
528,524227,0.147948
529,523880,0.147850
530,523540,0.147754
531,523192,0.147656
532,522846,0.147559
533,522489,0.147458
534,522146,0.147361
535,521819,0.147269
536,521495,0.147177
537,521147,0.147079
538,520819,0.146987
539,520459,0.146885
540,520125,0.146791
541,519794,0.146697
542,519453,0.146601
543,519133,0.146511
544,518791,0.146414
545,518465,0.146322
546,518129,0.146227
547,517787,0.146131
548,517465,0.146040
549,517134,0.145947
550,516805,0.145854
551,516443,0.145752
552,516121,0.145661
553,515794,0.145568
554,515469,0.145477
555,515110,0.145375
556,514791,0.145285
557,514470,0.145195
558,514117,0.145095
559,513809,0.145008
560,513441,0.144904
561,513097,0.144807
