TOTAL: 3543311
frames, misses, miss rate 
312,771450,0.217720
313,770969,0.217584
314,770490,0.217449
315,770005,0.217312
316,769554,0.217185
317,769046,0.217042
318,768604,0.216917
319,768144,0.216787
320,767669,0.216653
321,767215,0.216525
322,766737,0.216390
323,766302,0.216267
324,765847,0.216139
325,765396,0.216012
326,764969,0.215891
327,764566,0.215777
328,764113,0.215649
329,763665,0.215523
330,763209,0.215394
331,762774,0.215272
332,762362,0.215155
333,761932,0.215034
334,761493,0.214910
335,761062,0.214788
336,760617,0.214663
337,760177,0.214539
338,759736,0.214414
339,759313,0.214295
340,758886,0.214174
341,758440,0.214048
342,758029,0.213932
343,757599,0.213811
344,757191,0.213696
345,756771,0.213577
346,756318,0.213450
347,755888,0.213328
348,755496,0.213218
349,755081,0.213100
350,754646,0.212978
351,754213,0.212855
352,753826,0.212746
353,753427,0.212634
354,753000,0.212513
355,752599,0.212400
356,752186,0.212283
357,751751,0.212161
358,751334,0.212043
359,750929,0.211929
360,750532,0.211817
361,750125,0.211702
362,749729,0.211590
363,749319,0.211474
364,748944,0.211368
365,748584,0.211267
366,748202,0.211159
367,747844,0.211058
368,747476,0.210954
369,747106,0.210850
370,746708,0.210737
371,746335,0.210632
372,745936,0.210519
373,745505,0.210398
374,745136,0.210294
375,744746,0.210184
376,744374,0.210079
377,744006,0.209975
378,743647,0.209873
379,743288,0.209772
380,742910,0.209665
381,742538,0.209560
382,742163,0.209455
383,741817,0.209357
384,741443,0.209251
385,741079,0.209149
386,740729,0.209050
387,740368,0.208948
388,740036,0.208854
389,739667,0.208750
390,739279,0.208641
391,738946,0.208547
392,738591,0.208447
393,738266,0.208355
394,737939,0.208263
395,737589,0.208164
396,737282,0.208077
397,736906,0.207971
398,736584,0.207880
399,736261,0.207789
400,735885,0.207683
401,735549,0.207588
402,735175,0.207482
403,734805,0.207378
404,734437,0.207274
405,734081,0.207174
406,733736,0.207076
407,733385,0.206977
408,733035,0.206879
409,732659,0.206772
410,732301,0.206671
411,731947,0.206571
412,731609,0.206476
413,731211,0.206364
414,730849,0.206262
415,730488,0.206160
416,730159,0.206067
417,729786,0.205962
418,729403,0.205854
419,729030,0.205748
420,728644,0.205639
421,728295,0.205541
422,727949,0.205443
423,727571,0.205336
424,727208,0.205234
425,726819,0.205124
426,726427,0.205014
427,726086,0.204917
428,725749,0.204822
429,725374,0.204716
430,725036,0.204621
431,724679,0.204520
432,724335,0.204423
433,723956,0.204316
434,723626,0.204223
435,723281,0.204126
436,722933,0.204028
437,722539,0.203916
438,722161,0.203810
439,721791,0.203705
440,721409,0.203597
441,721036,0.203492
442,720662,0.203387
443,720299,0.203284
444,719924,0.203178
445,719559,0.203075
446,719203,0.202975
447,718867,0.202880
448,718500,0.202776
449,718167,0.202682
450,717815,0.202583
451,717432,0.202475
452,717076,0.202375
453,716767,0.202287
454,716454,0.202199
455,716105,0.202101
456,715756,0.202002
457,715429,0.201910
458,715064,0.201807
459,714702,0.201705
460,714346,0.201604
461,714014,0.201510
462,713612,0.201397
463,713260,0.201298
464,712908,0.201198
465,712578,0.201105
466,712194,0.200997
467,711879,0.200908
468,711522,0.200807
469,711193,0.200714
470,710837,0.200614
471,710500,0.200519
472,710169,0.200425
473,709829,0.200329
474,709471,0.200228
475,709124,0.200130
476,708759,0.200027
477,708420,0.199932
478,708077,0.199835
479,707750,0.199743
480,707370,0.199635
481,707012,0.199534
482,706637,0.199428
483,706314,0.199337
484,706000,0.199249
485,705692,0.199162
486,705313,0.199055
487,705003,0.198967
488,704640,0.198865
489,704321,0.198775
490,703998,0.198684
491,703643,0.198583
492,703286,0.198483
493,702961,0.198391
494,702639,0.198300
495,702307,0.198206
496,701977,0.198113
497,701669,0.198026
498,701315,0.197926
499,700975,0.197831
500,700648,0.197738
501,700332,0.197649
502,699993,0.197553
503,699671,0.197462
504,699327,0.197365
505,699006,0.197275
506,698669,0.197180
507,698333,0.197085
508,697973,0.196983
